timestamp,fundingRate
2026-02-28 08:00:00.000,-0.00034611
2026-02-28 16:00:00.004,-0.0001936
2026-03-01 00:00:00.005,0.0001
2026-03-01 08:00:00.000,0.0001
2026-03-01 16:00:00.002,6.77e-05
2026-03-02 00:00:00.001,0.0001
2026-03-02 08:00:00.007,-1.509e-05
2026-03-02 16:00:00.000,-0.0001201
2026-03-03 00:00:00.000,-9.232e-05
2026-03-03 08:00:00.000,0.0001
2026-03-03 16:00:00.007,9.681e-05
2026-03-04 00:00:00.001,0.0001
2026-03-04 08:00:00.005,-7.27e-05
2026-03-04 16:00:00.000,-9.005e-05
2026-03-05 00:00:00.000,0.0001
2026-03-05 08:00:00.000,0.0001
2026-03-05 16:00:00.004,-0.00013102
2026-03-06 00:00:00.001,0.0001
2026-03-06 08:00:00.001,0.0001
2026-03-06 16:00:00.004,-3.95e-05
2026-03-07 00:00:00.001,-0.00030131
2026-03-07 08:00:00.012,-4.471e-05
2026-03-07 16:00:00.001,8.545e-05
2026-03-08 00:00:00.001,-8.028e-05
2026-03-08 08:00:00.000,-1.989e-05
2026-03-08 16:00:00.002,-0.0004244
2026-03-09 00:00:00.000,1.97e-06
2026-03-09 08:00:00.004,0.0001
2026-03-09 16:00:00.003,-5.805e-05
2026-03-10 00:00:00.012,0.0001
2026-03-10 08:00:00.002,4.779e-05
2026-03-10 16:00:00.001,-5.991e-05
2026-03-11 00:00:00.000,-8.13e-05
2026-03-11 08:00:00.007,0.0001
2026-03-11 16:00:00.010,0.0001
2026-03-12 00:00:00.000,0.0001
2026-03-12 08:00:00.000,-0.00012989
2026-03-12 16:00:00.000,-6.798e-05
2026-03-13 00:00:00.006,-0.00017512
2026-03-13 08:00:00.001,0.0001
2026-03-13 16:00:00.000,0.0001
2026-03-14 00:00:00.001,5.667e-05
2026-03-14 08:00:00.000,7.399e-05
2026-03-14 16:00:00.007,-6.469e-05
2026-03-15 00:00:00.000,-0.00020495
2026-03-15 08:00:00.000,8.497e-05
2026-03-15 16:00:00.000,-2.388e-05
2026-03-16 00:00:00.000,2.75e-05
2026-03-16 08:00:00.010,6.081e-05
2026-03-16 16:00:00.000,5.319e-05
2026-03-17 00:00:00.000,6.6e-05
2026-03-17 08:00:00.002,0.0001
2026-03-17 16:00:00.011,0.0001
2026-03-18 00:00:00.002,2.524e-05
2026-03-18 08:00:00.002,-1.261e-05
2026-03-18 16:00:00.005,-5.308e-05
2026-03-19 00:00:00.000,-1.481e-05
2026-03-19 08:00:00.003,-0.0001605
2026-03-19 16:00:00.003,-0.00012115
2026-03-20 00:00:00.002,5.912e-05
2026-03-20 08:00:00.000,-4.78e-06
2026-03-20 16:00:00.000,-1.189e-05
2026-03-21 00:00:00.000,-3.737e-05
2026-03-21 08:00:00.000,-0.00015325
2026-03-21 16:00:00.014,-0.00021554
2026-03-22 00:00:00.012,-0.00021705
2026-03-22 08:00:00.007,0.0001
2026-03-22 16:00:00.002,-0.00018404
2026-03-23 00:00:00.000,0.0001
2026-03-23 08:00:00.003,-0.00014232
2026-03-23 16:00:00.002,-0.00024806
2026-03-24 00:00:00.000,-0.00036537
2026-03-24 08:00:00.000,-0.0002922
2026-03-24 16:00:00.003,-3.502e-05
2026-03-25 00:00:00.000,-0.00010504
2026-03-25 08:00:00.000,-0.00013523
2026-03-25 16:00:00.013,-8.428e-05
2026-03-26 00:00:00.001,-0.0002019
2026-03-26 08:00:00.001,9.417e-05
2026-03-26 16:00:00.000,-0.00047904
2026-03-27 00:00:00.006,-7.904e-05
2026-03-27 08:00:00.000,0.0001
2026-03-27 16:00:00.000,9.347e-05
2026-03-28 00:00:00.005,-5.484e-05
2026-03-28 08:00:00.005,-0.00010129
2026-03-28 16:00:00.000,-0.00037816
2026-03-29 00:00:00.003,7e-06
2026-03-29 08:00:00.001,-7.54e-06
2026-03-29 16:00:00.000,-0.00033774
2026-03-30 00:00:00.000,0.0001
2026-03-30 08:00:00.005,0.0001
2026-03-30 16:00:00.000,0.0001
2026-03-31 00:00:00.000,-2.418e-05
2026-03-31 08:00:00.000,-8.657e-05
2026-03-31 16:00:00.000,-6.951e-05
2026-04-01 00:00:00.000,-0.0005122
2026-04-01 08:00:00.000,-1.197e-05
2026-04-01 16:00:00.000,0.0001
2026-04-02 00:00:00.003,0.0001
2026-04-02 08:00:00.001,-1.024e-05
2026-04-02 16:00:00.001,0.0001
2026-04-03 00:00:00.000,0.0001
2026-04-03 08:00:00.008,0.0001
2026-04-03 16:00:00.008,4.754e-05
2026-04-04 00:00:00.000,-3.151e-05
2026-04-04 08:00:00.003,-2.084e-05
2026-04-04 16:00:00.000,2.652e-05
