timestamp,openInterestValue
2026-06-04 14:00:00,4049041454.8707113
2026-06-04 15:00:00,4025923453.1940575
2026-06-04 16:00:00,4035272803.951008
2026-06-04 17:00:00,4023026854.189132
2026-06-04 18:00:00,4004427192.6265507
2026-06-04 19:00:00,4016263517.764121
2026-06-04 20:00:00,4033741754.9305096
2026-06-04 21:00:00,4018570015.9125
2026-06-04 22:00:00,3976444651.449361
2026-06-04 23:00:00,3987313751.106311
2026-06-05 00:00:00,3992590976.6190734
2026-06-05 01:00:00,3972781701.02907
2026-06-05 02:00:00,3962985559.79976
2026-06-05 03:00:00,3911586557.225048
2026-06-05 04:00:00,3930442537.49266
2026-06-05 05:00:00,3876852169.43136
2026-06-05 06:00:00,3813043495.6709
2026-06-05 07:00:00,3727283157.6755185
2026-06-05 08:00:00,3783500374.7624326
2026-06-05 09:00:00,3757994328.1482
2026-06-05 10:00:00,3805069755.1280985
2026-06-05 11:00:00,3826283990.956317
2026-06-05 12:00:00,3802834449.473591
2026-06-05 13:00:00,3787008404.77239
2026-06-05 14:00:00,3647780412.722296
2026-06-05 15:00:00,3709392891.9347434
2026-06-05 16:00:00,3692674597.5451293
2026-06-05 17:00:00,3799893242.024
2026-06-05 18:00:00,3766836422.5476522
2026-06-05 19:00:00,3675946925.3958077
2026-06-05 20:00:00,3731314609.501283
2026-06-05 21:00:00,3833187183.31248
2026-06-05 22:00:00,3844298838.58396
2026-06-05 23:00:00,3819181932.14856
2026-06-06 00:00:00,3771932711.571494
2026-06-06 01:00:00,3791017281.98989
2026-06-06 02:00:00,3772041170.392065
2026-06-06 03:00:00,3757705356.9605727
2026-06-06 04:00:00,3735432298.55565
2026-06-06 05:00:00,3633269863.4406114
2026-06-06 06:00:00,3722951010.73478
2026-06-06 07:00:00,3726252590.51188
2026-06-06 08:00:00,3760719083.748
2026-06-06 09:00:00,3787337912.74752
2026-06-06 10:00:00,3742019882.49903
2026-06-06 11:00:00,3600746553.584823
2026-06-06 12:00:00,3613287748.00697
2026-06-06 13:00:00,3685183438.208825
2026-06-06 14:00:00,3659546004.48695
2026-06-06 15:00:00,3659824191.4349604
2026-06-06 16:00:00,3656239940.3654175
2026-06-06 17:00:00,3666504166.38884
2026-06-06 18:00:00,3607613949.598467
2026-06-06 19:00:00,3640918252.2592
2026-06-06 20:00:00,3640652384.4217095
2026-06-06 21:00:00,3641808997.90284
2026-06-06 22:00:00,3649916633.02695
2026-06-06 23:00:00,3642800527.97451
2026-06-07 00:00:00,3687792321.831245
2026-06-07 01:00:00,3676562807.490993
2026-06-07 02:00:00,3776448370.5541487
2026-06-07 03:00:00,3780822655.83983
2026-06-07 04:00:00,3792601864.7025166
2026-06-07 05:00:00,3800313525.424122
2026-06-07 06:00:00,3827279236.0672817
2026-06-07 07:00:00,3843629253.1959
2026-06-07 08:00:00,3862479776.8382754
2026-06-07 09:00:00,3868785949.85652
2026-06-07 10:00:00,3810985090.41996
2026-06-07 11:00:00,3796718067.045896
2026-06-07 12:00:00,3823886460.62808
2026-06-07 13:00:00,3797036692.238553
2026-06-07 14:00:00,3800132264.2741485
2026-06-07 15:00:00,3840009435.04108
2026-06-07 16:00:00,3846180874.66944
2026-06-07 17:00:00,3848847991.2078
2026-06-07 18:00:00,3844470165.6988354
2026-06-07 19:00:00,3838723668.45992
2026-06-07 20:00:00,3762378372.770007
2026-06-07 21:00:00,3781015281.260987
2026-06-07 22:00:00,3791625089.29736
2026-06-07 23:00:00,3780779331.53925
2026-06-08 00:00:00,3825310912.007281
2026-06-08 01:00:00,3877241246.745136
2026-06-08 02:00:00,3856320010.05728
2026-06-08 03:00:00,3849825014.95725
2026-06-08 04:00:00,3840565010.53506
2026-06-08 05:00:00,3754198439.932873
2026-06-08 06:00:00,3717400221.20155
2026-06-08 07:00:00,3772292815.9624
2026-06-08 08:00:00,3790090429.6398
2026-06-08 09:00:00,3754100327.7558
2026-06-08 10:00:00,3781239433.320368
2026-06-08 11:00:00,3780151557.7283
2026-06-08 12:00:00,3810372607.699591
2026-06-08 13:00:00,3849645564.84185
2026-06-08 14:00:00,3806764141.7314014
2026-06-08 15:00:00,3832002035.59833
2026-06-08 16:00:00,3841368496.1768365
2026-06-08 17:00:00,3827188040.793665
2026-06-08 18:00:00,3813559947.11984
2026-06-08 19:00:00,3804833852.36947
2026-06-08 20:00:00,3800347507.67878
2026-06-08 21:00:00,3797164095.3715
2026-06-08 22:00:00,3771447769.64525
2026-06-08 23:00:00,3800384555.76387
2026-06-09 00:00:00,3806753751.2243
2026-06-09 01:00:00,3729314373.6213107
2026-06-09 02:00:00,3745757567.75352
2026-06-09 03:00:00,3729133117.68202
2026-06-09 04:00:00,3735393829.7030277
2026-06-09 05:00:00,3772454413.413316
2026-06-09 06:00:00,3790552678.14786
2026-06-09 07:00:00,3803929105.44845
2026-06-09 08:00:00,3746015999.11785
