timestamp,openInterestValue
2026-06-04 14:00:00,194126729.25532
2026-06-04 15:00:00,192245333.5116672
2026-06-04 16:00:00,190415966.8048739
2026-06-04 17:00:00,188315428.7668671
2026-06-04 18:00:00,187952945.14071
2026-06-04 19:00:00,188300267.39541307
2026-06-04 20:00:00,186698153.73647797
2026-06-04 21:00:00,186243820.65102
2026-06-04 22:00:00,181143740.77068
2026-06-04 23:00:00,183693866.5534374
2026-06-05 00:00:00,184555140.3248802
2026-06-05 01:00:00,183101693.92378
2026-06-05 02:00:00,183252477.26836982
2026-06-05 03:00:00,177829726.41199833
2026-06-05 04:00:00,176770206.56035215
2026-06-05 05:00:00,178204666.97209895
2026-06-05 06:00:00,173322905.1552
2026-06-05 07:00:00,168560457.3766203
2026-06-05 08:00:00,172525962.7872
2026-06-05 09:00:00,170020533.81648
2026-06-05 10:00:00,172294455.1598853
2026-06-05 11:00:00,170292722.42496
2026-06-05 12:00:00,169476136.05406484
2026-06-05 13:00:00,169069281.73410112
2026-06-05 14:00:00,168257143.3017735
2026-06-05 15:00:00,169066281.020642
2026-06-05 16:00:00,168584404.72512308
2026-06-05 17:00:00,170637877.36721
2026-06-05 18:00:00,169734610.87023
2026-06-05 19:00:00,163111319.54593605
2026-06-05 20:00:00,164423766.06561
2026-06-05 21:00:00,167057407.03984
2026-06-05 22:00:00,166288706.531955
2026-06-05 23:00:00,163288064.13947433
2026-06-06 00:00:00,162074245.7105728
2026-06-06 01:00:00,165304435.08018157
2026-06-06 02:00:00,163528225.19451
2026-06-06 03:00:00,163100887.49604547
2026-06-06 04:00:00,162018639.8655904
2026-06-06 05:00:00,156831351.55621803
2026-06-06 06:00:00,165748687.272
2026-06-06 07:00:00,165618036.47922
2026-06-06 08:00:00,167574890.85566
2026-06-06 09:00:00,169531872.7524
2026-06-06 10:00:00,167254215.31677
2026-06-06 11:00:00,163852331.99887156
2026-06-06 12:00:00,164224989.15864
2026-06-06 13:00:00,169606272.30148983
2026-06-06 14:00:00,169178078.88618
2026-06-06 15:00:00,170321596.25356
2026-06-06 16:00:00,166218326.3288367
2026-06-06 17:00:00,165645336.41568
2026-06-06 18:00:00,165144054.09645498
2026-06-06 19:00:00,166154405.596478
2026-06-06 20:00:00,169077784.50846
2026-06-06 21:00:00,169132686.97224
2026-06-06 22:00:00,165988448.07261
2026-06-06 23:00:00,166462502.1958723
2026-06-07 00:00:00,167400973.7049815
2026-06-07 01:00:00,166880276.2855445
2026-06-07 02:00:00,170720089.36294
2026-06-07 03:00:00,170254558.08276123
2026-06-07 04:00:00,170575260.50824
2026-06-07 05:00:00,172588113.32352
2026-06-07 06:00:00,172659588.69609085
2026-06-07 07:00:00,173711504.28672
2026-06-07 08:00:00,174065251.72316
2026-06-07 09:00:00,174570558.57939
2026-06-07 10:00:00,172876075.41892213
2026-06-07 11:00:00,171675430.63975763
2026-06-07 12:00:00,173514046.15314
2026-06-07 13:00:00,169942559.4089553
2026-06-07 14:00:00,170252919.09978
2026-06-07 15:00:00,171892629.23016
2026-06-07 16:00:00,171484027.88556
2026-06-07 17:00:00,172025797.00586
2026-06-07 18:00:00,171846109.74141604
2026-06-07 19:00:00,169808346.2526
2026-06-07 20:00:00,169334786.64200756
2026-06-07 21:00:00,170356078.7588
2026-06-07 22:00:00,169839061.95977288
2026-06-07 23:00:00,172016917.71644
2026-06-08 00:00:00,173723991.7763139
2026-06-08 01:00:00,174450831.82285
2026-06-08 02:00:00,172460135.5881
2026-06-08 03:00:00,172918552.45366415
2026-06-08 04:00:00,173273398.09506
2026-06-08 05:00:00,172138544.06345415
2026-06-08 06:00:00,171814965.62363
2026-06-08 07:00:00,173124485.30664
2026-06-08 08:00:00,173637116.42123
2026-06-08 09:00:00,173235402.87258
2026-06-08 10:00:00,175520099.67117
2026-06-08 11:00:00,174149784.88621
2026-06-08 12:00:00,176986986.78550246
2026-06-08 13:00:00,179366538.86944723
2026-06-08 14:00:00,179213801.65422124
2026-06-08 15:00:00,179481766.23024
2026-06-08 16:00:00,179785685.06736
2026-06-08 17:00:00,178168841.65734908
2026-06-08 18:00:00,179100143.15432
2026-06-08 19:00:00,178626220.595865
2026-06-08 20:00:00,178435564.69258758
2026-06-08 21:00:00,177648309.8838
2026-06-08 22:00:00,176742508.17446
2026-06-08 23:00:00,176721540.318
2026-06-09 00:00:00,175618548.1529
2026-06-09 01:00:00,165253324.28704786
2026-06-09 02:00:00,166122034.58534
2026-06-09 03:00:00,165927856.3613
2026-06-09 04:00:00,165975293.55406454
2026-06-09 05:00:00,167603908.7173935
2026-06-09 06:00:00,167907191.9085288
2026-06-09 07:00:00,167774025.6545115
2026-06-09 08:00:00,169057894.37058
2026-06-09 09:00:00,168994023.55335552
2026-06-09 10:00:00,168466458.25912
2026-06-09 11:00:00,168619542.0637728
2026-06-09 12:00:00,168927130.65787643
2026-06-09 13:00:00,169287556.12576643
2026-06-09 14:00:00,169908252.9588
2026-06-09 15:00:00,168428359.06416
2026-06-09 16:00:00,167224793.035976
2026-06-09 17:00:00,168432293.22772
2026-06-09 18:00:00,169694697.9101409
2026-06-09 19:00:00,170660978.87588045
2026-06-09 20:00:00,171365330.6670047
2026-06-09 21:00:00,171461979.13999987
2026-06-09 22:00:00,170150074.54302
2026-06-09 23:00:00,170415094.0977804
2026-06-10 00:00:00,171362478.976
2026-06-10 01:00:00,172601033.9087251
2026-06-10 02:00:00,171634095.4709904
2026-06-10 03:00:00,170523091.8883496
2026-06-10 04:00:00,169735360.2471372
2026-06-10 05:00:00,167293062.04851
2026-06-10 06:00:00,167449742.69344
2026-06-10 07:00:00,167343615.8546953
2026-06-10 08:00:00,167581029.53589585
2026-06-10 09:00:00,169577954.65086
2026-06-10 10:00:00,168453441.6645
2026-06-10 11:00:00,168175985.4768
2026-06-10 12:00:00,167570104.1163083
2026-06-10 13:00:00,168186619.7898879
2026-06-10 14:00:00,168791849.24331
2026-06-10 15:00:00,167793994.28352
2026-06-10 16:00:00,168392071.97232
2026-06-10 17:00:00,166318597.601994
2026-06-10 18:00:00,165278019.23138794
2026-06-10 19:00:00,164970315.54071525
2026-06-10 20:00:00,163691878.62645
2026-06-10 21:00:00,162430147.36076844
2026-06-10 22:00:00,161266486.07278368
2026-06-10 23:00:00,162521620.716539
2026-06-11 00:00:00,162169982.06995723
2026-06-11 01:00:00,162388872.36557224
2026-06-11 02:00:00,164463591.73511034
2026-06-11 03:00:00,164259904.66380498
2026-06-11 04:00:00,164504531.805
2026-06-11 05:00:00,164731225.61016
2026-06-11 06:00:00,164369638.2744
2026-06-11 07:00:00,165002017.39616847
2026-06-11 08:00:00,165370883.28009796
2026-06-11 09:00:00,166378138.02391422
2026-06-11 10:00:00,166845954.5236769
2026-06-11 11:00:00,167259088.17254487
2026-06-11 12:00:00,167530590.11847082
2026-06-11 13:00:00,165003276.01030368
2026-06-11 14:00:00,166229337.85488
2026-06-11 15:00:00,167494745.35435897
2026-06-11 16:00:00,165455420.5178
2026-06-11 17:00:00,165048776.33303663
2026-06-11 18:00:00,170066392.12128258
2026-06-11 19:00:00,170192087.99640295
2026-06-11 20:00:00,171773266.68878
2026-06-11 21:00:00,169474206.1536
2026-06-11 22:00:00,169580422.8864
2026-06-11 23:00:00,169308038.8483
2026-06-12 00:00:00,169222378.65127
2026-06-12 01:00:00,169940100.14433157
2026-06-12 02:00:00,170033751.24994
2026-06-12 03:00:00,171419569.30065
2026-06-12 04:00:00,171087529.3280509
2026-06-12 05:00:00,183761899.02798
2026-06-12 06:00:00,193080626.49701196
2026-06-12 07:00:00,174711051.4155
2026-06-12 08:00:00,175364315.58877
2026-06-12 09:00:00,180437943.23243198
