timestamp,openInterestValue
2026-06-04 14:00:00,15944182.30534332
2026-06-04 15:00:00,15911122.76237092
2026-06-04 16:00:00,16326236.38889332
2026-06-04 17:00:00,15841739.76954059
2026-06-04 18:00:00,15516810.04063
2026-06-04 19:00:00,15491465.24525
2026-06-04 20:00:00,15499653.94344688
2026-06-04 21:00:00,15302919.68582
2026-06-04 22:00:00,14980136.55051
2026-06-04 23:00:00,15155128.1160204
2026-06-05 00:00:00,15195936.76224
2026-06-05 01:00:00,14888092.22183714
2026-06-05 02:00:00,14872845.88364
2026-06-05 03:00:00,14504910.63053121
2026-06-05 04:00:00,14417468.87565
2026-06-05 05:00:00,14772417.75677193
2026-06-05 06:00:00,14473247.0638
2026-06-05 07:00:00,14330866.50086709
2026-06-05 08:00:00,14582863.14388157
2026-06-05 09:00:00,14446664.40898
2026-06-05 10:00:00,14613661.14408
2026-06-05 11:00:00,14462607.56925
2026-06-05 12:00:00,14658243.25353741
2026-06-05 13:00:00,14756489.49532
2026-06-05 14:00:00,14388997.97640205
2026-06-05 15:00:00,14433341.05251524
2026-06-05 16:00:00,14431788.78064
2026-06-05 17:00:00,14581248.63336
2026-06-05 18:00:00,14951380.55968
2026-06-05 19:00:00,14552947.6468
2026-06-05 20:00:00,14811669.60020875
2026-06-05 21:00:00,15095256.84992
2026-06-05 22:00:00,15077272.75725
2026-06-05 23:00:00,14645849.95450068
2026-06-06 00:00:00,14533437.44304
2026-06-06 01:00:00,14662645.61951171
2026-06-06 02:00:00,14561048.75673
2026-06-06 03:00:00,14408026.36746
2026-06-06 04:00:00,14271367.695
2026-06-06 05:00:00,13803374.24752
2026-06-06 06:00:00,14133312.36457
2026-06-06 07:00:00,14216128.26236
2026-06-06 08:00:00,14266630.9098
2026-06-06 09:00:00,14412924.49898
2026-06-06 10:00:00,14277497.9723
2026-06-06 11:00:00,14271414.67922907
2026-06-06 12:00:00,14440067.24967
2026-06-06 13:00:00,14521948.15948
2026-06-06 14:00:00,14641378.02384526
2026-06-06 15:00:00,14569462.81305
2026-06-06 16:00:00,14534953.29397238
2026-06-06 17:00:00,14500175.47489539
2026-06-06 18:00:00,14427515.20993687
2026-06-06 19:00:00,14504089.4491
2026-06-06 20:00:00,14451014.05632
2026-06-06 21:00:00,14558234.97232
2026-06-06 22:00:00,14613715.31880254
2026-06-06 23:00:00,14622203.0673959
2026-06-07 00:00:00,14670933.91419
2026-06-07 01:00:00,14724148.88532
2026-06-07 02:00:00,14965393.532693
2026-06-07 03:00:00,14992673.3088
2026-06-07 04:00:00,15035489.8244
2026-06-07 05:00:00,15258791.09754
2026-06-07 06:00:00,15593191.48201893
2026-06-07 07:00:00,15644268.44207853
2026-06-07 08:00:00,15685365.86637729
2026-06-07 09:00:00,15771923.27523
2026-06-07 10:00:00,15542697.54460974
2026-06-07 11:00:00,15444446.14839
2026-06-07 12:00:00,15470402.66792607
2026-06-07 13:00:00,15324636.67463171
2026-06-07 14:00:00,15350794.2746
2026-06-07 15:00:00,15409677.52077
2026-06-07 16:00:00,15410674.93052687
2026-06-07 17:00:00,15383796.48188
2026-06-07 18:00:00,15407235.1704
2026-06-07 19:00:00,15344173.1856
2026-06-07 20:00:00,15167455.3823
2026-06-07 21:00:00,15314610.12697129
2026-06-07 22:00:00,15304343.7668
2026-06-07 23:00:00,15492685.89212
2026-06-08 00:00:00,15553467.27558
2026-06-08 01:00:00,15675331.78368
2026-06-08 02:00:00,15524050.66317
2026-06-08 03:00:00,15557834.3207
2026-06-08 04:00:00,15628843.93536
2026-06-08 05:00:00,15541264.51328638
2026-06-08 06:00:00,15485322.64081
2026-06-08 07:00:00,15603235.65612
2026-06-08 08:00:00,15729376.26169
2026-06-08 09:00:00,15657770.049705
2026-06-08 10:00:00,15840224.74782
2026-06-08 11:00:00,15742034.7882
2026-06-08 12:00:00,15761115.50264444
2026-06-08 13:00:00,15944903.23842294
2026-06-08 14:00:00,15985133.16701
2026-06-08 15:00:00,16054561.3646
2026-06-08 16:00:00,15969519.00102
2026-06-08 17:00:00,15911788.55408298
2026-06-08 18:00:00,15988773.30461215
2026-06-08 19:00:00,15986836.52707238
2026-06-08 20:00:00,16138249.452
2026-06-08 21:00:00,16094051.71854
2026-06-08 22:00:00,15916843.90357734
2026-06-08 23:00:00,15815294.71137129
2026-06-09 00:00:00,15636512.26751922
2026-06-09 01:00:00,15194812.56445
2026-06-09 02:00:00,15099199.50198
2026-06-09 03:00:00,15030679.20234921
2026-06-09 04:00:00,14996318.33856446
2026-06-09 05:00:00,15107490.466915
2026-06-09 06:00:00,15078941.10571417
2026-06-09 07:00:00,15103167.64455
2026-06-09 08:00:00,15037734.53423
2026-06-09 09:00:00,14940799.41899
2026-06-09 10:00:00,14815121.07481
2026-06-09 11:00:00,14799578.57604
2026-06-09 12:00:00,14767956.10038129
2026-06-09 13:00:00,14817100.82577115
2026-06-09 14:00:00,14948275.99934
2026-06-09 15:00:00,14847328.99878576
2026-06-09 16:00:00,15309727.12861
2026-06-09 17:00:00,14919898.55488517
2026-06-09 18:00:00,15059219.9736
2026-06-09 19:00:00,15189056.34152
2026-06-09 20:00:00,15182827.71404
2026-06-09 21:00:00,15314902.4708782
2026-06-09 22:00:00,15213009.649975
2026-06-09 23:00:00,15192235.928996
2026-06-10 00:00:00,15264868.09903856
2026-06-10 01:00:00,15442744.644
2026-06-10 02:00:00,15375977.41662
2026-06-10 03:00:00,15163675.99013206
2026-06-10 04:00:00,15225869.8393
2026-06-10 05:00:00,15093929.47053
2026-06-10 06:00:00,14998626.769685
2026-06-10 07:00:00,15117352.09236
2026-06-10 08:00:00,15379583.08375224
2026-06-10 09:00:00,15513938.57288
2026-06-10 10:00:00,15747603.44102
2026-06-10 11:00:00,15680975.69445
2026-06-10 12:00:00,15473014.8602
2026-06-10 13:00:00,16443800.86317134
2026-06-10 14:00:00,15529625.7695
2026-06-10 15:00:00,15592060.4827634
2026-06-10 16:00:00,15498091.41253888
2026-06-10 17:00:00,15502150.03359
2026-06-10 18:00:00,15549041.12984134
2026-06-10 19:00:00,15751711.47924
2026-06-10 20:00:00,15574403.66187113
2026-06-10 21:00:00,15658406.3173764
2026-06-10 22:00:00,15560922.85744
2026-06-10 23:00:00,15715939.53418
2026-06-11 00:00:00,15747877.905825
2026-06-11 01:00:00,16036433.35665293
2026-06-11 02:00:00,16045294.3066524
2026-06-11 03:00:00,15857446.53504595
2026-06-11 04:00:00,16071102.18092
2026-06-11 05:00:00,16273035.73638
2026-06-11 06:00:00,16146237.64936
2026-06-11 07:00:00,16601795.80932
2026-06-11 08:00:00,16683348.41499266
2026-06-11 09:00:00,16842872.22225001
2026-06-11 10:00:00,16572585.67558677
2026-06-11 11:00:00,16834747.4442
2026-06-11 12:00:00,17328374.32254409
2026-06-11 13:00:00,17509795.6585241
2026-06-11 14:00:00,17458123.43264
2026-06-11 15:00:00,17458906.98984895
2026-06-11 16:00:00,17988115.80156145
2026-06-11 17:00:00,17947152.297
2026-06-11 18:00:00,18389016.55818
2026-06-11 19:00:00,18210977.13230834
2026-06-11 20:00:00,18242418.1002
2026-06-11 21:00:00,18419628.64269
2026-06-11 22:00:00,18478522.4074
2026-06-11 23:00:00,18392200.00692
2026-06-12 00:00:00,18708963.77053116
2026-06-12 01:00:00,18272045.36968019
2026-06-12 02:00:00,17903901.74496
2026-06-12 03:00:00,18079692.0428816
2026-06-12 04:00:00,18249353.48893268
2026-06-12 05:00:00,18490910.0401706
2026-06-12 06:00:00,18209836.99652
2026-06-12 07:00:00,17993484.93056
2026-06-12 08:00:00,17886190.18368
2026-06-12 09:00:00,17911714.40539026
2026-06-12 10:00:00,17751281.249265
2026-06-12 11:00:00,17731075.487392
2026-06-12 12:00:00,17578360.93085
2026-06-12 13:00:00,17301538.13432
2026-06-12 14:00:00,17092695.18948563
2026-06-12 15:00:00,17146804.24638
2026-06-12 16:00:00,16997785.63084
2026-06-12 17:00:00,17151913.58141
2026-06-12 18:00:00,17089095.48676
2026-06-12 19:00:00,17031140.34699
2026-06-12 20:00:00,17118453.996
2026-06-12 21:00:00,17125524.76731361
2026-06-12 22:00:00,17106708.65840015
2026-06-12 23:00:00,17103615.50898
2026-06-13 00:00:00,17235680.29475317
2026-06-13 01:00:00,17336685.09179683
2026-06-13 02:00:00,17398649.7139
2026-06-13 03:00:00,17477041.06661831
2026-06-13 04:00:00,17319175.58019498
2026-06-13 05:00:00,17358778.15684
2026-06-13 06:00:00,17122453.60765532
2026-06-13 07:00:00,17168181.63
2026-06-13 08:00:00,17109358.74957123
2026-06-13 09:00:00,17219918.10891
2026-06-13 10:00:00,17107004.86285183
2026-06-13 11:00:00,17022335.59421103
2026-06-13 12:00:00,17003410.77952
2026-06-13 13:00:00,16927518.97709524
2026-06-13 14:00:00,16753568.862515
2026-06-13 15:00:00,16754650.78654653
2026-06-13 16:00:00,16726842.32604
2026-06-13 17:00:00,16638584.34904006
2026-06-13 18:00:00,16598011.09084
2026-06-13 19:00:00,16450207.668694
2026-06-13 20:00:00,16489474.6060821
2026-06-13 21:00:00,16444720.34491196
2026-06-13 22:00:00,16456454.36382
2026-06-13 23:00:00,16325452.35557683
2026-06-14 00:00:00,16354120.64472
2026-06-14 01:00:00,16286627.81136
2026-06-14 02:00:00,16301533.36451667
2026-06-14 03:00:00,16417250.53792
2026-06-14 04:00:00,16365504.92662787
2026-06-14 05:00:00,16142347.54725167
2026-06-14 06:00:00,16179840.66422553
2026-06-14 07:00:00,16187972.82167
2026-06-14 08:00:00,16131973.30052
2026-06-14 09:00:00,16095550.10266
2026-06-14 10:00:00,16111636.33960486
2026-06-14 11:00:00,16079464.37856
2026-06-14 12:00:00,16134103.04466
2026-06-14 13:00:00,15933817.77468
2026-06-14 14:00:00,16019025.16968
2026-06-14 15:00:00,16248659.55768
2026-06-14 16:00:00,16755375.39662
2026-06-14 17:00:00,16794591.49518283
2026-06-14 18:00:00,16758122.17956
2026-06-14 19:00:00,17220061.79128617
2026-06-14 20:00:00,17220984.4026
2026-06-14 21:00:00,17387550.45027
2026-06-14 22:00:00,17438931.56
2026-06-14 23:00:00,17381492.35436
2026-06-15 00:00:00,17467143.25518
2026-06-15 01:00:00,17377354.70493527
2026-06-15 02:00:00,17359398.25984
2026-06-15 03:00:00,17390486.61151768
2026-06-15 04:00:00,17267558.847
2026-06-15 05:00:00,17329802.1118
2026-06-15 06:00:00,17349844.41984
